gfx.PutPixel(7 + x, 0 + y, 16, 16, 16);
gfx.PutPixel(28 + x, 7 + y, 177, 177, 177);
gfx.PutPixel(29 + x, 7 + y, 255, 255, 255);
gfx.PutPixel(35 + x, 7 + y, 147, 147, 147);
gfx.PutPixel(36 + x, 7 + y, 177, 177, 177);
gfx.PutPixel(2 + x, 8 + y, 108, 108, 108);
gfx.PutPixel(3 + x, 8 + y, 255, 255, 255);
gfx.PutPixel(4 + x, 8 + y, 203, 203, 203);
gfx.PutPixel(6 + x, 8 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 8 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 8 + y, 128, 128, 128);
gfx.PutPixel(10 + x, 8 + y, 191, 191, 191);
gfx.PutPixel(11 + x, 8 + y, 255, 255, 255);
gfx.PutPixel(12 + x, 8 + y, 131, 131, 131);
gfx.PutPixel(28 + x, 8 + y, 177, 177, 177);
gfx.PutPixel(29 + x, 8 + y, 236, 236, 236);
gfx.PutPixel(35 + x, 8 + y, 110, 110, 110);
gfx.PutPixel(36 + x, 8 + y, 147, 147, 147);
gfx.PutPixel(1 + x, 9 + y, 16, 16, 16);
gfx.PutPixel(2 + x, 9 + y, 239, 239, 239);
gfx.PutPixel(3 + x, 9 + y, 255, 255, 255);
gfx.PutPixel(4 + x, 9 + y, 60, 60, 60);
gfx.PutPixel(6 + x, 9 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 9 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 9 + y, 128, 128, 128);
gfx.PutPixel(10 + x, 9 + y, 48, 48, 48);
gfx.PutPixel(11 + x, 9 + y, 255, 255, 255);
gfx.PutPixel(12 + x, 9 + y, 247, 247, 247);
gfx.PutPixel(13 + x, 9 + y, 28, 28, 28);
gfx.PutPixel(28 + x, 9 + y, 177, 177, 177);
gfx.PutPixel(29 + x, 9 + y, 236, 236, 236);
gfx.PutPixel(35 + x, 9 + y, 110, 110, 110);
gfx.PutPixel(36 + x, 9 + y, 147, 147, 147);
gfx.PutPixel(1 + x, 10 + y, 80, 80, 80);
gfx.PutPixel(2 + x, 10 + y, 247, 247, 247);
gfx.PutPixel(3 + x, 10 + y, 167, 167, 167);
gfx.PutPixel(6 + x, 10 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 10 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 10 + y, 128, 128, 128);
gfx.PutPixel(11 + x, 10 + y, 163, 163, 163);
gfx.PutPixel(12 + x, 10 + y, 247, 247, 247);
gfx.PutPixel(13 + x, 10 + y, 88, 88, 88);
gfx.PutPixel(28 + x, 10 + y, 177, 177, 177);
gfx.PutPixel(29 + x, 10 + y, 236, 236, 236);
gfx.PutPixel(35 + x, 10 + y, 110, 110, 110);
gfx.PutPixel(36 + x, 10 + y, 147, 147, 147);
gfx.PutPixel(38 + x, 10 + y, 61, 61, 61);
gfx.PutPixel(39 + x, 10 + y, 255, 255, 255);
gfx.PutPixel(40 + x, 10 + y, 110, 110, 110);
gfx.PutPixel(41 + x, 10 + y, 218, 218, 218);
gfx.PutPixel(42 + x, 10 + y, 255, 255, 255);
gfx.PutPixel(43 + x, 10 + y, 255, 255, 255);
gfx.PutPixel(44 + x, 10 + y, 110, 110, 110);
gfx.PutPixel(2 + x, 11 + y, 32, 32, 32);
gfx.PutPixel(3 + x, 11 + y, 28, 28, 28);
gfx.PutPixel(6 + x, 11 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 11 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 11 + y, 128, 128, 128);
gfx.PutPixel(11 + x, 11 + y, 28, 28, 28);
gfx.PutPixel(12 + x, 11 + y, 36, 36, 36);
gfx.PutPixel(28 + x, 11 + y, 177, 177, 177);
gfx.PutPixel(29 + x, 11 + y, 236, 236, 236);
gfx.PutPixel(35 + x, 11 + y, 110, 110, 110);
gfx.PutPixel(36 + x, 11 + y, 147, 147, 147);
gfx.PutPixel(37 + x, 11 + y, 110, 110, 110);
gfx.PutPixel(38 + x, 11 + y, 255, 255, 255);
gfx.PutPixel(39 + x, 11 + y, 255, 255, 255);
gfx.PutPixel(40 + x, 11 + y, 255, 255, 255);
gfx.PutPixel(41 + x, 11 + y, 110, 110, 110);
gfx.PutPixel(43 + x, 11 + y, 218, 218, 218);
gfx.PutPixel(44 + x, 11 + y, 255, 255, 255);
gfx.PutPixel(6 + x, 12 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 12 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 12 + y, 128, 128, 128);
gfx.PutPixel(28 + x, 12 + y, 177, 177, 177);
gfx.PutPixel(29 + x, 12 + y, 236, 236, 236);
gfx.PutPixel(35 + x, 12 + y, 110, 110, 110);
gfx.PutPixel(36 + x, 12 + y, 147, 147, 147);
gfx.PutPixel(38 + x, 12 + y, 61, 61, 61);
gfx.PutPixel(39 + x, 12 + y, 255, 255, 255);
gfx.PutPixel(40 + x, 12 + y, 110, 110, 110);
gfx.PutPixel(43 + x, 12 + y, 61, 61, 61);
gfx.PutPixel(44 + x, 12 + y, 255, 255, 255);
gfx.PutPixel(45 + x, 12 + y, 147, 147, 147);
gfx.PutPixel(6 + x, 13 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 13 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 13 + y, 128, 128, 128);
gfx.PutPixel(17 + x, 13 + y, 255, 255, 255);
gfx.PutPixel(18 + x, 13 + y, 255, 255, 255);
gfx.PutPixel(19 + x, 13 + y, 255, 255, 255);
gfx.PutPixel(20 + x, 13 + y, 255, 255, 255);
gfx.PutPixel(21 + x, 13 + y, 255, 255, 255);
gfx.PutPixel(28 + x, 13 + y, 177, 177, 177);
gfx.PutPixel(29 + x, 13 + y, 255, 255, 255);
gfx.PutPixel(35 + x, 13 + y, 147, 147, 147);
gfx.PutPixel(36 + x, 13 + y, 147, 147, 147);
gfx.PutPixel(38 + x, 13 + y, 61, 61, 61);
gfx.PutPixel(39 + x, 13 + y, 255, 255, 255);
gfx.PutPixel(40 + x, 13 + y, 110, 110, 110);
gfx.PutPixel(44 + x, 13 + y, 255, 255, 255);
gfx.PutPixel(45 + x, 13 + y, 147, 147, 147);
gfx.PutPixel(6 + x, 14 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 14 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 14 + y, 128, 128, 128);
gfx.PutPixel(28 + x, 14 + y, 147, 147, 147);
gfx.PutPixel(29 + x, 14 + y, 255, 255, 255);
gfx.PutPixel(30 + x, 14 + y, 61, 61, 61);
gfx.PutPixel(35 + x, 14 + y, 199, 199, 199);
gfx.PutPixel(36 + x, 14 + y, 110, 110, 110);
gfx.PutPixel(38 + x, 14 + y, 61, 61, 61);
gfx.PutPixel(39 + x, 14 + y, 255, 255, 255);
gfx.PutPixel(40 + x, 14 + y, 110, 110, 110);
gfx.PutPixel(44 + x, 14 + y, 255, 255, 255);
gfx.PutPixel(45 + x, 14 + y, 110, 110, 110);
gfx.PutPixel(6 + x, 15 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 15 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 15 + y, 128, 128, 128);
gfx.PutPixel(29 + x, 15 + y, 236, 236, 236);
gfx.PutPixel(30 + x, 15 + y, 236, 236, 236);
gfx.PutPixel(34 + x, 15 + y, 177, 177, 177);
gfx.PutPixel(35 + x, 15 + y, 218, 218, 218);
gfx.PutPixel(38 + x, 15 + y, 61, 61, 61);
gfx.PutPixel(39 + x, 15 + y, 255, 255, 255);
gfx.PutPixel(40 + x, 15 + y, 199, 199, 199);
gfx.PutPixel(43 + x, 15 + y, 199, 199, 199);
gfx.PutPixel(44 + x, 15 + y, 218, 218, 218);
gfx.PutPixel(6 + x, 16 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 16 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 16 + y, 128, 128, 128);
gfx.PutPixel(30 + x, 16 + y, 236, 236, 236);
gfx.PutPixel(31 + x, 16 + y, 255, 255, 255);
gfx.PutPixel(32 + x, 16 + y, 255, 255, 255);
gfx.PutPixel(33 + x, 16 + y, 255, 255, 255);
gfx.PutPixel(34 + x, 16 + y, 218, 218, 218);
gfx.PutPixel(38 + x, 16 + y, 61, 61, 61);
gfx.PutPixel(39 + x, 16 + y, 255, 255, 255);
gfx.PutPixel(40 + x, 16 + y, 236, 236, 236);
gfx.PutPixel(41 + x, 16 + y, 255, 255, 255);
gfx.PutPixel(42 + x, 16 + y, 255, 255, 255);
gfx.PutPixel(43 + x, 16 + y, 236, 236, 236);
gfx.PutPixel(6 + x, 17 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 17 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 17 + y, 128, 128, 128);
gfx.PutPixel(38 + x, 17 + y, 61, 61, 61);
gfx.PutPixel(39 + x, 17 + y, 255, 255, 255);
gfx.PutPixel(40 + x, 17 + y, 110, 110, 110);
gfx.PutPixel(6 + x, 18 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 18 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 18 + y, 128, 128, 128);
gfx.PutPixel(38 + x, 18 + y, 61, 61, 61);
gfx.PutPixel(39 + x, 18 + y, 255, 255, 255);
gfx.PutPixel(40 + x, 18 + y, 110, 110, 110);
gfx.PutPixel(6 + x, 19 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 19 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 19 + y, 128, 128, 128);
gfx.PutPixel(37 + x, 19 + y, 110, 110, 110);
gfx.PutPixel(38 + x, 19 + y, 255, 255, 255);
gfx.PutPixel(39 + x, 19 + y, 255, 255, 255);
gfx.PutPixel(40 + x, 19 + y, 255, 255, 255);
gfx.PutPixel(41 + x, 19 + y, 147, 147, 147);
gfx.PutPixel(6 + x, 20 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 20 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 20 + y, 128, 128, 128);
gfx.PutPixel(6 + x, 21 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 21 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 21 + y, 128, 128, 128);
gfx.PutPixel(6 + x, 22 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 22 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 22 + y, 128, 128, 128);
